# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsReadDecompressed,1772701658591000000,1772701718628000000,0
VFS.invertedFileNameIndex.requests,1772701658591000000,1772701718628000000,0
VFS.fileByIdCache.misses,1772701658591000000,1772701718628000000,0
VFS.fileByIdCache.hits,1772701658591000000,1772701718628000000,0
VFS.cache.filesCreated,1772701658591000000,1772701718628000000,158
VFS.rootsCount,1772701658591000000,1772701718628000000,5.0
VFS.cache.directoriesCreated,1772701658591000000,1772701718628000000,69
VFS.contentStorage.recordsStoredSize,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsStored,1772701658591000000,1772701718628000000,0
VFS.cache.segments,1772701658591000000,1772701718628000000,1.0
VFS.folderCaseSensitivityReads,1772701658591000000,1772701718628000000,35
VFS.contentStorage.recordsRead,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsReadSize,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsUncompressedSize,1772701658591000000,1772701718628000000,0
FileNameCache.queries,1772701658591000000,1772701718628000000,9792
VFS.contentStorage.recordsDecompressionTimeUs,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsStoredCompressed,1772701658591000000,1772701718628000000,0
VFS.contentStorage.recordsDeduplicated,1772701658591000000,1772701718628000000,0
VFS.cache.segmentsCreated,1772701658591000000,1772701718628000000,1
VFS.fileChildByName,1772701658591000000,1772701718628000000,930
JVM.totalDirectByteBuffersBytes,1772701658591000000,1772701718628000000,248969204
MEM.ramMinusFileMappingsBytes,1772701658591000000,1772701718628000000,2089369600
JVM.totalSafepointCount,1772701658591000000,1772701718628000000,138
JVM.newThreadsCount,1772701658591000000,1772701718628000000,171
JVM.totalTimeAtSafepointsMs,1772701658591000000,1772701718628000000,5882
MEM.ramPlusSwapMinusFileMappingsBytes,1772701658591000000,1772701718628000000,2127615328
MEM.fileMappingsRamBytes,1772701658591000000,1772701718628000000,564559872
JVM.totalCpuTimeMs,1772701658591000000,1772701718628000000,32975
MEM.ramBytes,1772701658591000000,1772701718628000000,2654126080
OS.loadAverage,1772701658591000000,1772701718628000000,462.23974609375
JVM.maxThreadCount,1772701658591000000,1772701718628000000,147
JVM.totalTimeToSafepointsMs,1772701658591000000,1772701718628000000,4606
JVM.maxHeapBytes,1772701658591000000,1772701718628000000,2147483648
JVM.committedHeapBytes,1772701658591000000,1772701718628000000,1783627776
JVM.usedNativeBytes,1772701658591000000,1772701718628000000,274939896
JVM.usedHeapBytes,1772701658591000000,1772701718628000000,706980144
JVM.threadCount,1772701658591000000,1772701718628000000,146
JVM.GC.collectionTimesMs,1772701658591000000,1772701718628000000,5803
JVM.GC.collections,1772701658591000000,1772701718628000000,41
JVM.totalBytesAllocated,1772701658591000000,1772701718628000000,2307542696
FilePageCache.totalPageDisposalsUs,1772701658591000000,1772701718628000000,166108
MappedFileStorage.totalPagesMapped,1772701658591000000,1772701718628000000,13
FilePageCache.pageLoads,1772701658591000000,1772701718628000000,219
FilePageCache.pageFastCacheHits,1772701658591000000,1772701718628000000,76058
FilePageCache.totalPageLoadsUs,1772701658591000000,1772701718628000000,1186977
FileChannelInterruptsRetryer.totalRetriedAttempts,1772701658591000000,1772701718628000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772701658591000000,1772701718628000000,597742
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772701658591000000,1772701718628000000,4706
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772701658591000000,1772701718628000000,738
FilePageCache.pageHits,1772701658591000000,1772701718628000000,0
FilePageCache.maxRegisteredFiles,1772701658591000000,1772701718628000000,533
StreamlinedBlobStorage.recordsRelocated,1772701658591000000,1772701718628000000,0
StorageLockContext.competingThreads.90P,1772701658591000000,1772701718628000000,0
StorageLockContext.competingThreads.max,1772701658591000000,1772701718628000000,10
FilePageCache.pageLoadsAboveSizeThreshold,1772701658591000000,1772701718628000000,0
DirectByteBufferAllocator.reclaimed,1772701658591000000,1772701718628000000,5
FilePageCache.maxCacheSizeInBytes,1772701658591000000,1772701718628000000,222314496
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772701658591000000,1772701718628000000,222314496
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772701658591000000,1772701718628000000,0
MappedFileStorage.storages,1772701658591000000,1772701718628000000,13
FilePageCache.capacityInBytes,1772701658591000000,1772701718628000000,629145600
DirectByteBufferAllocator.disposed,1772701658591000000,1772701718628000000,0
FilePageCache.disposedBuffers,1772701658591000000,1772701718628000000,5
DirectByteBufferAllocator.misses,1772701658591000000,1772701718628000000,214
FilePageCache.uncachedFileAccess,1772701658591000000,1772701718628000000,288
StreamlinedBlobStorage.recordsAllocated,1772701658591000000,1772701718628000000,67
DirectByteBufferAllocator.hits,1772701658591000000,1772701718628000000,5
StorageLockContext.competingThreads.avg,1772701658591000000,1772701718628000000,0.43137254901960786
MappedFileStorage.totalBytesMapped,1772701658591000000,1772701718628000000,190054400
StreamlinedBlobStorage.recordsDeleted,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772701658591000000,1772701718628000000,0
jps.global.handle.before.change.events.ms,1772701658591000000,1772701718628000000,0
jps.library.entities.serializer.load.entities.ms,1772701658591000000,1772701718628000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772701658591000000,1772701718628000000,370
workspaceModel.mutableEntityStorage.put.entity.ms,1772701658591000000,1772701718628000000,12
workspaceModel.moduleBridge.before.changed.ms,1772701658591000000,1772701718628000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772701658591000000,1772701718628000000,0
workspaceModel.save.cache.to.file.ms,1772701658591000000,1772701718628000000,1948
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772701658591000000,1772701718628000000,167
jps.global.get.library.ms,1772701658591000000,1772701718628000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772701658591000000,1772701718628000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772701658591000000,1772701718628000000,0
jps.app.storage.content.writer.save.component.ms,1772701658591000000,1772701718628000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772701658591000000,1772701718628000000,0
workspaceModel.global.updates.ms,1772701658591000000,1772701718628000000,0
jps.app.storage.content.reader.load.component.ms,1772701658591000000,1772701718628000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772701658591000000,1772701718628000000,4
jps.facet.change.listener.before.change.events.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772701658591000000,1772701718628000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772701658591000000,1772701718628000000,2871
jps.global.initialize.library.bridges.ms,1772701658591000000,1772701718628000000,1
workspaceModel.mutableEntityStorage.entities.ms,1772701658591000000,1772701718628000000,2
jps.library.entities.serializer.save.entities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.global.updates.count,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.instances.count,1772701658591000000,1772701718628000000,24
workspaceModel.mutableEntityStorage.remove.entity.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772701658591000000,1772701718628000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772701658591000000,1772701718628000000,128
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.moduleBridge.update.option.ms,1772701658591000000,1772701718628000000,0
jps.project.serializers.save.ms,1772701658591000000,1772701718628000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772701658591000000,1772701718628000000,2
jps.storage.jps.conf.reader.load.component.ms,1772701658591000000,1772701718628000000,38
workspaceModel.mutableEntityStorage.hasReferrers.ms,1772701658591000000,1772701718628000000,0
jps.artifact.entities.serializer.save.entities.ms,1772701658591000000,1772701718628000000,0
jps.project.serializers.load.ms,1772701658591000000,1772701718628000000,515
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772701658591000000,1772701718628000000,0
jps.facet.change.listener.init.bridge.ms,1772701658591000000,1772701718628000000,10
workspaceModel.sync.entities.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772701658591000000,1772701718628000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772701658591000000,1772701718628000000,16
jps.load.initial.state.ms,1772701658591000000,1772701718628000000,276
workspaceModel.global.apply.state.to.project.builder.ms,1772701658591000000,1772701718628000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1772701658591000000,1772701718628000000,0
